,A4
0,15.33999999999969
1,33.95000000000027
2,57.039999999999964
3,28.139999999999873
4,34.159999999999854
5,38.08999999999969
6,24.269999999999982
7,38.470000000000255
8,34.210000000000036
9,22.09999999999991
10,25.700000000000273
11,30.08999999999969
12,26.0
13,29.5
14,56.59999999999991
15,20.860000000000127
16,34.470000000000255
17,21.429999999999836
18,27.29000000000042
19,13.13000000000011
20,22.940000000000055
21,35.38000000000011
22,48.65000000000009
23,33.92000000000007
24,17.88000000000011
25,29.20999999999958
26,21.420000000000073
27,22.029999999999745
28,34.19999999999982
29,43.26999999999998
30,45.5
31,37.2199999999998
32,52.559999999999945
33,75.11000000000013
34,27.61999999999989
35,29.920000000000073
36,46.91999999999962
37,26.309999999999945
38,27.009999999999764
39,29.490000000000236
40,44.98000000000002
41,27.949999999999818
42,54.60999999999967
43,30.059999999999945
44,39.82999999999993
45,33.45000000000027
46,30.800000000000182
47,24.25
48,17.539999999999964
49,29.990000000000236
50,48.289999999999964
51,85.4699999999998
52,35.86000000000013
53,26.81999999999971
54,20.860000000000127
55,39.9699999999998
56,28.090000000000146
57,30.829999999999927
58,28.949999999999818
59,18.669999999999618
60,35.38999999999987
61,30.86999999999989
62,65.05999999999995
63,17.800000000000182
64,61.2199999999998
65,19.980000000000018
66,20.36999999999989
67,35.779999999999745
68,24.170000000000073
69,19.670000000000073
70,25.7199999999998
71,44.94999999999982
72,31.769999999999982
73,18.200000000000273
74,22.6899999999996
75,34.070000000000164
76,38.690000000000055
77,27.59999999999991
78,11.059999999999945
79,30.4699999999998
80,23.509999999999764
81,16.730000000000018
82,39.88999999999987
83,20.960000000000036
84,44.84999999999991
85,17.2800000000002
86,15.2199999999998
87,29.109999999999673
88,18.309999999999945
89,33.65000000000009
90,20.850000000000364
91,39.58999999999969
92,32.04999999999973
93,19.920000000000073
94,17.970000000000255
95,14.2800000000002
96,29.159999999999854
97,23.16000000000031
98,20.690000000000055
99,19.710000000000036
100,32.13999999999987
101,27.409999999999854
102,25.800000000000182
103,27.230000000000018
104,29.080000000000382
105,11.5300000000002
106,12.579999999999927
107,33.07999999999993
108,22.059999999999945
109,17.230000000000018
110,14.050000000000182
111,46.909999999999854
112,16.220000000000255
113,14.7800000000002
114,14.920000000000073
115,15.690000000000055
116,16.220000000000255
117,20.600000000000364
118,15.909999999999854
119,14.019999999999982
120,15.900000000000091
121,20.11999999999989
122,9.730000000000018
123,15.11999999999989
124,17.420000000000073
125,30.25
126,12.25
127,19.9399999999996
128,26.61999999999989
129,11.059999999999945
130,16.480000000000018
131,19.84999999999991
132,30.88000000000011
133,12.980000000000018
134,35.350000000000364
135,19.720000000000255
136,39.99000000000024
137,21.81999999999971
138,59.08999999999969
139,26.550000000000182
140,22.980000000000018
141,33.960000000000036
142,42.5300000000002
143,43.48000000000002
144,26.9699999999998
145,37.340000000000146
146,42.929999999999836
147,19.980000000000018
148,29.98999999999978
149,16.450000000000273
150,34.820000000000164
151,29.09999999999991
152,33.7800000000002
153,18.600000000000364
154,20.5
155,14.639999999999873
156,34.159999999999854
157,17.470000000000255
158,29.15000000000009
159,33.210000000000036
160,13.849999999999909
161,26.720000000000255
162,25.509999999999764
163,17.019999999999982
164,37.710000000000036
165,24.580000000000382
166,23.220000000000255
167,22.640000000000327
168,17.809999999999945
169,14.429999999999836
170,44.19999999999982
171,25.740000000000236
172,20.289999999999964
173,55.940000000000055
174,26.279999999999745
175,25.329999999999927
176,27.840000000000146
177,45.2199999999998
178,22.960000000000036
179,56.909999999999854
180,33.07999999999993
181,19.15000000000009
182,18.059999999999945
183,10.690000000000055
184,33.11000000000013
185,27.0
186,24.460000000000036
187,29.83999999999969
188,31.559999999999945
189,34.309999999999945
190,38.48000000000002
191,45.710000000000036
192,14.7199999999998
193,26.710000000000036
194,29.909999999999854
195,32.129999999999654
196,19.259999999999764
197,15.860000000000127
198,43.61000000000013
199,45.570000000000164
200,30.61999999999989
201,45.690000000000055
202,22.110000000000127
203,18.84999999999991
204,20.170000000000073
205,28.009999999999764
206,52.13000000000011
207,51.01999999999998
208,69.79999999999973
209,54.720000000000255
210,40.059999999999945
211,24.259999999999764
212,48.15000000000009
213,35.2800000000002
214,19.179999999999836
215,22.629999999999654
216,55.32999999999993
217,64.73000000000002
218,42.2199999999998
219,33.05000000000018
220,35.789999999999964
221,69.17000000000007
222,46.679999999999836
223,140.22000000000025
224,115.98000000000002
225,136.00999999999976
226,183.86000000000013
227,195.1800000000003
228,313.30999999999995
229,170.86000000000013
230,95.98000000000002
231,71.51999999999998
232,82.91999999999962
233,95.71000000000004
234,92.45000000000027
235,71.48000000000002
236,116.25999999999976
237,97.55000000000018
238,114.87000000000035
239,151.86000000000013
240,109.46000000000004
241,118.32999999999993
242,118.44000000000005
243,69.65999999999985
244,89.84000000000015
