,A3
0,2314.84
1,2286.37
2,2246.79
3,2262.58
4,2258.89
5,2224.49
6,2222.07
7,2214.12
8,2215.9
9,2227.26
10,2215.9
11,2024.7818181818182
12,1838.3083333333332
13,1678.8153846153846
14,1569.9428571428573
15,1496.0866666666668
16,1405.575
17,1327.858823529412
18,1240.6833333333334
19,1175.4
20,1116.53
21,1058.647619047619
22,1005.6818181818181
23,987.0391304347827
24,956.8833333333333
25,917.7280000000001
26,887.4884615384615
27,850.3148148148148
28,826.9928571428571
29,796.6586206896552
30,772.4733333333334
31,752.1612903225806
32,714.9593749999999
33,680.8242424242424
34,654.4735294117647
35,618.4857142857143
36,605.5722222222222
37,589.3162162162162
38,577.4263157894736
39,561.1794871794872
40,547.2725
41,532.0560975609757
42,521.2833333333333
43,499.92558139534884
44,481.5431818181818
45,473.4644444444445
46,467.26956521739135
47,455.40000000000003
48,446.5
49,439.2775510204081
50,426.25600000000003
51,418.58627450980396
52,416.0057692307692
53,412.59056603773587
54,405.83148148148143
55,397.4690909090909
56,390.5160714285714
57,381.1701754385965
58,373.3189655172414
59,367.8135593220339
60,363.78
61,360.02295081967213
62,352.60483870967744
63,356.18571428571425
64,351.06093749999997
65,352.42153846153843
66,345.62272727272733
67,339.6761194029851
68,332.5691176470588
69,325.40869565217395
70,320.2314285714286
71,313.91126760563384
72,309.95972222222224
73,300.93835616438355
74,298.05270270270273
75,294.5933333333333
76,289.6986842105263
77,281.9987012987013
78,276.84358974358975
79,273.94683544303797
80,270.2125
81,268.34814814814814
82,262.64878048780486
83,261.2301204819277
84,254.94761904761904
85,256.98
86,254.07558139534888
87,251.05977011494252
88,246.75568181818178
89,241.62921348314606
90,237.70666666666668
91,234.23846153846156
92,232.18478260869566
93,232.35591397849458
94,228.5723404255319
95,227.93894736842105
96,225.00312500000004
97,223.83195876288661
98,222.25408163265305
99,218.87979797979796
100,216.9
101,212.81683168316832
102,210.87549019607843
103,208.71650485436894
104,207.10576923076923
105,205.86
106,204.11415094339625
107,201.96168224299063
108,202.1898148148148
109,201.49908256880735
110,198.6981818181818
111,195.72522522522524
112,193.4294642857143
113,189.11769911504425
114,188.35350877192982
115,186.54
116,184.63189655172414
117,183.85555555555558
118,183.01101694915255
119,182.2033613445378
120,180.92916666666667
121,179.4636363636364
122,179.09508196721313
123,177.5447154471545
124,176.3064516129032
125,174.4624
126,172.89761904761906
127,169.43070866141733
128,168.33906249999998
129,168.36434108527132
130,167.4053846153846
131,166.66030534351145
132,164.16136363636363
133,163.63383458646615
134,162.08507462686566
135,162.78444444444446
136,162.52058823529413
137,163.49051094890513
138,163.83260869565217
139,167.73165467625898
140,167.34071428571428
141,165.88936170212767
142,165.5316901408451
143,165.83916083916083
144,164.9736111111111
145,164.19103448275862
146,162.4431506849315
147,161.17006802721087
148,158.05878378378378
149,158.85906040268455
150,157.41133333333335
151,156.98741721854307
152,155.47236842105264
153,154.69934640522877
154,154.53246753246754
155,153.51419354838708
156,152.274358974359
157,150.7936305732484
158,149.9025316455696
159,148.9062893081761
160,146.899375
161,145.13913043478257
162,144.21975308641976
163,143.48282208588955
164,143.63109756097563
165,144.70666666666665
166,145.43734939759037
167,145.34730538922156
168,145.87083333333334
169,145.25976331360948
170,143.35764705882352
171,143.9456140350877
172,141.7651162790698
173,140.9971098265896
174,140.3977011494253
175,137.4497142857143
176,137.21306818181816
177,137.29661016949154
178,135.91741573033707
179,134.21675977653632
180,135.77666666666667
181,136.05911602209943
182,134.0467032967033
183,134.08032786885246
184,133.4179347826087
185,133.9664864864865
186,133.7693548387097
187,132.73475935828876
188,130.8718085106383
189,130.5767195767196
190,129.76315789473685
191,129.8586387434555
192,127.92239583333334
193,127.28601036269428
194,126.76597938144332
195,125.51128205128204
196,123.70714285714284
197,122.08071065989847
198,120.07777777777777
199,121.44572864321609
200,123.0635
201,123.10348258706468
202,124.36584158415842
203,124.34334975369458
204,123.40490196078433
205,122.89756097560976
206,121.89271844660192
207,122.780193236715
208,123.35240384615385
209,124.51531100478469
210,123.53904761904762
211,123.57914691943127
212,121.78915094339622
213,122.72723004694836
214,120.1032710280374
215,118.62790697674419
216,117.84583333333332
217,119.14101382488481
218,122.37018348623853
219,122.65114155251142
220,123.78909090909092
221,124.63755656108596
222,126.55585585585585
223,128.04170403587443
224,131.4513392857143
225,134.588
226,137.38451327433626
227,140.78414096916302
228,143.459649122807
229,147.9401746724891
230,140.39347826086959
231,140.88398268398268
232,139.63146551724137
233,138.4643776824034
234,141.17094017094018
235,143.3272340425532
236,143.80127118644066
237,143.34092827004218
238,145.17689075630253
239,143.58912133891215
240,139.18166666666667
241,138.41410788381742
242,142.70000000000002
243,145.0320987654321
244,143.1077868852459
